raw_folded,canonical_id
acil basiskele'fatih mah site,basiskele_fatih
akademik elit park,akademik_elit_park
akasya modern evleri,akasya_modern
alizepark city,alizepark_city
alizepark city sitesi,alizepark_city
altin vadi evleri sitesi,altin_vadi
altinkent kalici konutlari 3 ada,altinkent_kalici_konutlari_3_ada
altinkent kalici konutlari 5 ada,altinkent_kalici_konutlari_5_ada
altinkent kalici konutlari 6 ada sitesi,altinkent_kalici_konutlari_6_ada
altinkent kalici konutlari 7 ada,altinkent_kalici_konutlari_7_ada
anatolia evleri,anatolia
ara kat daire site,ara
arakat asansorlu butik site,asansorlu_butik
armoni 2 evleri,armoni_2
asrin evleri sitesi,asrin
aurapark,aurapark
aurapark sitesi,aurapark
aydinkent kalici konutlari,aydinkent_kalici
aydinkent kalici konutlari 19 ada,aydinkent_kalici_konutlari_19_ada
aydinkent kalici konutlari 20 ada,aydinkent_kalici_konutlari_20_ada
aydinkent konutlari,aydinkent
bahama proje,bahama
bahcekent konutlari,bahcekent_konutlari
basiskele altinkent site,altinkent
basiskele barbaros mah. site,barbaros_mah
basiskele barbaros mh site,barbaros_mh
basiskele barbaros site,barbaros
basiskele fatih mah. site,fatih_mah
basiskele fatih mahallesinde site,fatih_mahallesinde
basiskele kullar tepecik de site,kullar_tepecik_de
basiskele kullar tepecik mah. site,kullar_tepecik_mah
basiskele kullar yakacik'ta kacirilmayacak butik site,kullar_yakacik_ta_kacirilmayacak_butik
basiskele kullar yaylacik mahallesi site,kullar_yaylacik_mahallesi
basiskele kullar'da prestijli yasam projesi,kullar_da_prestijli_yasam
basiskele kullar'da ultra luks ebeveyn banyolu site,kullar_da_ultra_ebeveyn_banyolu
basiskele parla 100. yil sitesi,parla_100_yil
basiskele pasadag 100. yil parla sit,pasadag_100_yil_parla
basiskele tinaztepede site,tinaztepede
basiskele vadi,vadi
basiskele yaylacik mh.'de havuzlu site,yaylacik_mh_de_havuzlu
basiskele yesilkent kalici konutlari,yesilkent_kalici
basiskele yesilyurt mah.durupark evleri,yesilyurt_mah_durupark
basiskele yesilyurt mahallesin'de site,yesilyurt_mahallesin_de
basiskele yuvacikta site,yuvacikta
basiskele'de asev muhit sitesi,basiskele_de_asev_muhit
basiskele'de butik site,basiskele_de_butik
basiskele'de site,basiskele_de
birikim gayrimenkulden site,birikim_gayrimenkulden
bizim evler sitesi,bizim_evler
bloklu butik site,bloklu_butik
bulvar basiskele sitesi,bulvar
caglayan modern yuvacik,caglayan_modern_yuvacik
casaba suite sitesi,casaba_suite
cb mahall'den tinaztepede site,cb_mahall_den_tinaztepede
ceneviz adalari projesi,ceneviz_adalari
cevizli vadi evleri,cevizli_vadi
clover premium,clover_premium
doga evleri,doga
dream gardens sitesi,dream_gardens
duru park evleri,duru_park
durupark evleri sitesi,durupark
elitium park evleri,elitium_park
elitium trio sitesi,elitium_trio
emar delux yuvacik,emar_delux_yuvacik
erenoglu gm'den satilik site,erenoglu_gm_den
erturk sitesi,erturk
esila park sitesi,esila_park
evimiz kocaeli,evimiz_kocaeli
evimiz kocaeli sitesi,evimiz_kocaeli
gun isigi sitesi,gun_isigi
invest globalden zeray kent,invest_globalden_zeray_kent
iskar elit kent,iskar_elit_kent
kardelen sitesi,kardelen
kirazli kent sitesi,kirazli_kent
kocaeli basiskele seyri vadi sitesi,seyri_vadi
kolayli karsiyaka sitesi,kolayli_karsiyaka
kolayli kullar sitesi,kolayli_kullar
kolayli sitesi,kolayli
konut kredili dusuk faiz yuksek konforlu site,kredili_dusuk_faiz_yuksek_konforlu
kuba sitesi,kuba
kucuk yali evleri sitesi,kucuk_yali
kw arven'den ted kolejine komsu havuzlu site,kw_arven_den_ted_kolejine_komsu_havuzlu
lotus evleri,lotus
lotus mahza,lotus_mahza
mahall yuvacik 2,mahall_yuvacik_2
mamik life,mamik_life
mamik life sitesi,mamik_life
mamik reform,mamik_reform
manar terrace,manar_terrace
manar yuvacik,manar_yuvacik
manar yuvacik 3,manar_yuvacik_3
marmara elit evleri sitesi,marmara_elit
marmara elit yapi kooperatifi,marmara_elit_yapi_kooperatifi
mavi - yesil park,mavi_yesil_park
may city sitesi,may_city
may kent 2 sitesi,may_kent_2
mehmet akif ersoy sitesi,mehmet_akif_ersoy
merkezde essiz bir proje,merkezde_essiz_bir
mezire,ustgrup_mezire
missing,missing
my house yuvacik,my_house_yuvacik
my house yuvacik sitesi,my_house_yuvacik
my yaka sitesi,my_yaka
natura life yuvacik,natura_life_yuvacik
naturapark evleri,naturapark
oksijen konaklari,oksijen_konaklari
oluklu life sitesi,oluklu_life
orka life,orka_life
orka life 2 sitesi,orka_life_2
orka life sitesi,orka_life
panoramakent 1,panoramakent_1
panoramakent 2 sitesi,panoramakent_2
panoramakent 3,panoramakent_3
panoramakent 4,panoramakent_4
parla 100. yil sitesi,parla_100_yil
pasadag mh'de konsept talha park,pasadag_mh_de_konsept_talha_park
pasadagi evleri,pasadagi
pera park evleri,pera_park
polen park sitesi,polen_park
ritim vadi evleri,ritim_vadi_evleri
rose garden evleri,rose_garden
royal city akkurt,royal_city_akkurt
royal country,royal_country
royal life sitesi,royal_life
sahibinden satilik site,sahibinden
secret garden,secret_garden
sembol kent sitesi,sembol_kent
tanta emlak'tan site,tanta_emlak_tan
temizel tepe loft,temizel_tepe_loft
teras marmara,teras_marmara
terasta life,terasta_life
terra nova evleri,terra_nova
torpidocular sitesi,torpidocular
ust kat deniz manzarali asansorlu site,ust_deniz_manzarali_asansorlu
ust park atakent,ust_park_atakent
ust park yuvacik,ust_park_yuvacik
ustgrup lifeside,ustgrup_lifeside
ustgrup mezire,ustgrup_mezire
ustpark afraze,ustpark_afraze
ustpark yuvacik sitesi,ustpark_yuvacik
vadi yuvacik sitesi,vadi_yuvacik
vizyon'dan site,vizyon_dan
yagmurkent sitesi,yagmurkent
yakamoz konutlari,yakamoz_konutlari
yakut konaklari sitesi,yakut_konaklari
yesilkent kalici konutlari,yesilkent_kalici
yuksek giris butik site,yuksek_giris_butik
yuvacik doga evleri,yuvacik_doga
yuvacik eksioglu metsan evleri,yuvacik_eksioglu_metsan
yuvacik kalici konutlari 1 ada,yuvacik_kalici_konutlari_1_ada
yuvacik kalici konutlari 10 ada,yuvacik_kalici_konutlari_10_ada
yuvacik kalici konutlari 2 ada,yuvacik_kalici_konutlari_2_ada
yuvacik manar sitesi,yuvacik_manar
yuvacik pasadagi mh. site,yuvacik_pasadagi_mh
yuvacik'ta prestijli site,yuvacik_ta_prestijli
yuvana evleri,yuvana_evleri
zeray gunesi sitesi,zeray_gunesi
zeray kent,zeray_kent
zeray korupark,zeray_korupark
zeray perla sitesi,zeray_perla
zeraykent yuvacik,zeraykent_yuvacik
